,Name,Week_1_Touches,Week_2_Touches,Week_3_Touches,Week_4_Touches,Week_5_Touches,Week_6_Touches,Week_7_Touches,Week_8_Touches,Week_9_Touches,Week_10_Touches,Week_11_Touches,Week_12_Touches,Week_13_Touches,Week_14_Touches,Week_15_Touches,Week_16_Touches,Week_17_Touches,TOTAL_TOUCHES,AVG_TOUCHES,TOTAL_TOUCHDOWNS,Week_1_Receptions,Week_2_Receptions,Week_3_Receptions,Week_4_Receptions,Week_5_Receptions,Week_6_Receptions,Week_7_Receptions,Week_8_Receptions,Week_9_Receptions,Week_10_Receptions,Week_11_Receptions,Week_12_Receptions,Week_13_Receptions,Week_14_Receptions,Week_15_Receptions,Week_16_Receptions,Week_17_Receptions,TOTAL_RECEPTIONS,AVG_RECEPTIONS,RECEIVING_TOUCHDOWNS,Week_1_Carries,Week_2_Carries,Week_3_Carries,Week_4_Carries,Week_5_Carries,Week_6_Carries,Week_7_Carries,Week_8_Carries,Week_9_Carries,Week_10_Carries,Week_11_Carries,Week_12_Carries,Week_13_Carries,Week_14_Carries,Week_15_Carries,Week_16_Carries,Week_17_Carries,TOTAL_CARRIES,AVG_CARRIES,RUSHING_TOUCHDOWNS,CARRIES_PCT,Week_1_Snaps,Week_2_Snaps,Week_3_Snaps,Week_4_Snaps,Week_5_Snaps,Week_6_Snaps,Week_7_Snaps,Week_8_Snaps,Week_9_Snaps,Week_10_Snaps,Week_11_Snaps,Week_12_Snaps,Week_13_Snaps,Week_14_Snaps,Week_15_Snaps,Week_16_Snaps,Week_17_Snaps,TOTAL_SNAPS,AVG_SNAPS,SNAP_PCT,Week_1_Targets,Week_2_Targets,Week_3_Targets,Week_4_Targets,Week_5_Targets,Week_6_Targets,Week_7_Targets,Week_8_Targets,Week_9_Targets,Week_10_Targets,Week_11_Targets,Week_12_Targets,Week_13_Targets,Week_14_Targets,Week_15_Targets,Week_16_Targets,Week_17_Targets,TOTAL_TARGETS,AVG_TARGETS,TARGET_PCT,CATCH_PCT,Week_1_RZ_Carries,Week_2_RZ_Carries,Week_3_RZ_Carries,Week_4_RZ_Carries,Week_5_RZ_Carries,Week_6_RZ_Carries,Week_7_RZ_Carries,Week_8_RZ_Carries,Week_9_RZ_Carries,Week_10_RZ_Carries,Week_11_RZ_Carries,Week_12_RZ_Carries,Week_13_RZ_Carries,Week_14_RZ_Carries,Week_15_RZ_Carries,Week_16_RZ_Carries,Week_17_RZ_Carries,TOTAL_RZ_CARRIES,AVG_RZ_CARRIES,Week_1_RZ_Touches,Week_2_RZ_Touches,Week_3_RZ_Touches,Week_4_RZ_Touches,Week_5_RZ_Touches,Week_6_RZ_Touches,Week_7_RZ_Touches,Week_8_RZ_Touches,Week_9_RZ_Touches,Week_10_RZ_Touches,Week_11_RZ_Touches,Week_12_RZ_Touches,Week_13_RZ_Touches,Week_14_RZ_Touches,Week_15_RZ_Touches,Week_16_RZ_Touches,Week_17_RZ_Touches,TOTAL_RZ_TOUCHES,AVG_RZ_TOUCHES,Week_1_RZ_Targets,Week_2_RZ_Targets,Week_3_RZ_Targets,Week_4_RZ_Targets,Week_5_RZ_Targets,Week_6_RZ_Targets,Week_7_RZ_Targets,Week_8_RZ_Targets,Week_9_RZ_Targets,Week_10_RZ_Targets,Week_11_RZ_Targets,Week_12_RZ_Targets,Week_13_RZ_Targets,Week_14_RZ_Targets,Week_15_RZ_Targets,Week_16_RZ_Targets,Week_17_RZ_Targets,TOTAL_RZ_TARGETS,AVG_RZ_TARGETS,Week_1_RZ_Receptions,Week_2_RZ_Receptions,Week_3_RZ_Receptions,Week_4_RZ_Receptions,Week_5_RZ_Receptions,Week_6_RZ_Receptions,Week_7_RZ_Receptions,Week_8_RZ_Receptions,Week_9_RZ_Receptions,Week_10_RZ_Receptions,Week_11_RZ_Receptions,Week_12_RZ_Receptions,Week_13_RZ_Receptions,Week_14_RZ_Receptions,Week_15_RZ_Receptions,Week_16_RZ_Receptions,Week_17_RZ_Receptions,TOTAL_RZ_RECEPTIONS,AVG_RZ_RECEPTIONS
0,Antonio Gibson,23.0,15.0,13.0,16.0,22.0,12.0,16.0,11.0,0.0,26.0,19.0,36.0,0.0,0.0,0.0,0.0,0.0,209.0,19.0,6.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,26.0,2.4,6.0,20.0,13.0,12.0,14.0,20.0,10.0,14.0,8.0,0.0,24.0,19.0,29.0,0.0,0.0,0.0,0.0,0.0,183.0,16.6,5.0,69.58,36.0,43.0,31.0,37.0,47.0,23.0,30.0,23.0,0.0,46.0,33.0,57.0,0.0,0.0,0.0,0.0,0.0,349.0,31.0,52.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,30.0,2.7,9.0,86.7,1.0,0.0,2.0,1.0,6.0,0.0,4.0,0.0,0.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,28.0,2.8,1.0,0.0,2.0,1.0,6.0,0.0,4.0,1.0,0.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,29.0,2.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1
1,Elijah Mitchell,19.0,19.0,0.0,0.0,11.0,0.0,18.0,18.0,13.0,27.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,157.0,19.6,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,1.8,4.0,19.0,17.0,0.0,0.0,9.0,0.0,18.0,18.0,8.0,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,143.0,17.9,4.0,60.85,35.0,43.0,0.0,0.0,44.0,0.0,37.0,36.0,39.0,36.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,319.0,39.0,44.7,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,1.9,4.6,93.3,2.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,1.8,2.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1
2,Joe Mixon,33.0,21.0,19.0,17.0,11.0,23.0,12.0,18.0,18.0,0.0,30.0,32.0,0.0,0.0,0.0,0.0,0.0,234.0,21.3,13.0,4.0,1.0,1.0,1.0,1.0,5.0,0.0,4.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,26.0,2.4,13.0,29.0,20.0,18.0,16.0,10.0,18.0,12.0,14.0,13.0,0.0,30.0,28.0,0.0,0.0,0.0,0.0,0.0,208.0,18.9,11.0,78.79,54.0,46.0,35.0,40.0,19.0,45.0,34.0,43.0,47.0,0.0,53.0,49.0,0.0,0.0,0.0,0.0,0.0,465.0,42.0,66.1,4.0,2.0,1.0,2.0,1.0,6.0,0.0,5.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,30.0,2.7,8.7,86.7,3.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,27.0,2.5,3.0,0.0,1.0,3.0,2.0,0.0,0.0,6.0,3.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,30.0,2.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3
3,AJ Dillon,5.0,6.0,8.0,16.0,12.0,11.0,4.0,16.0,12.0,23.0,17.0,25.0,0.0,0.0,0.0,0.0,0.0,155.0,12.9,4.0,1.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,4.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,27.0,2.2,4.0,4.0,5.0,6.0,15.0,8.0,11.0,3.0,16.0,8.0,21.0,11.0,20.0,0.0,0.0,0.0,0.0,0.0,128.0,10.7,2.0,46.21,16.0,19.0,18.0,29.0,21.0,25.0,13.0,29.0,24.0,36.0,44.0,42.0,0.0,0.0,0.0,0.0,0.0,316.0,26.0,40.2,2.0,1.0,2.0,1.0,4.0,0.0,2.0,0.0,4.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,29.0,2.4,7.0,93.1,0.0,1.0,1.0,0.0,3.0,1.0,0.0,4.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,25.0,2.1,0.0,1.0,1.0,0.0,5.0,1.0,0.0,4.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2
4,Josh Jacobs,11.0,0.0,0.0,18.0,19.0,17.0,9.0,0.0,17.0,12.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,141.0,15.7,6.0,1.0,0.0,0.0,5.0,4.0,1.0,3.0,0.0,4.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,3.3,6.0,10.0,0.0,0.0,13.0,15.0,16.0,6.0,0.0,13.0,7.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,111.0,12.3,6.0,51.39,45.0,0.0,0.0,36.0,46.0,36.0,24.0,0.0,34.0,31.0,31.0,57.0,0.0,0.0,0.0,0.0,0.0,340.0,37.0,46.1,2.0,0.0,0.0,5.0,5.0,1.0,3.0,0.0,4.0,5.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,8.7,83.3,3.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,2.4,3.0,0.0,0.0,2.0,3.0,4.0,1.0,0.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,25.0,2.8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3
5,Leonard Fournette,14.0,15.0,7.0,23.0,16.0,28.0,17.0,11.0,0.0,19.0,16.0,24.0,0.0,0.0,0.0,0.0,0.0,190.0,17.3,8.0,5.0,4.0,3.0,3.0,4.0,6.0,2.0,3.0,0.0,8.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,51.0,4.6,8.0,9.0,11.0,4.0,20.0,12.0,22.0,15.0,8.0,0.0,11.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,139.0,12.6,7.0,65.26,42.0,31.0,26.0,64.0,46.0,47.0,39.0,37.0,0.0,31.0,46.0,54.0,0.0,0.0,0.0,0.0,0.0,463.0,42.0,61.3,7.0,4.0,3.0,5.0,5.0,6.0,4.0,5.0,0.0,9.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,62.0,5.6,13.3,82.3,4.0,3.0,0.0,1.0,4.0,8.0,6.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,37.0,3.4,5.0,5.0,0.0,1.0,4.0,8.0,8.0,0.0,0.0,2.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,47.0,4.3,1.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,1.3,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9
6,D'Onta Foreman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,46.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,42.0,10.5,0.0,12.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.0,15.0,31.0,0.0,0.0,0.0,0.0,0.0,79.0,19.0,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Darrell Henderson Jr.,17.0,16.0,0.0,19.0,18.0,23.0,18.0,15.0,14.0,9.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,169.0,16.9,8.0,1.0,3.0,0.0,5.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,2.7,8.0,16.0,13.0,0.0,14.0,17.0,21.0,15.0,14.0,11.0,5.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,142.0,14.2,5.0,62.56,49.0,40.0,0.0,61.0,44.0,54.0,57.0,41.0,47.0,41.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,484.0,48.0,68.8,1.0,5.0,0.0,6.0,1.0,3.0,6.0,2.0,4.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,38.0,3.8,9.4,71.1,4.0,5.0,0.0,1.0,2.0,5.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,2.5,5.0,5.0,0.0,1.0,2.0,5.0,1.0,6.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,2.8,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3
8,David Montgomery,17.0,23.0,12.0,23.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,125.0,17.9,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,1.7,3.0,16.0,20.0,10.0,23.0,0.0,0.0,0.0,0.0,13.0,0.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,113.0,16.1,3.0,46.89,41.0,52.0,37.0,36.0,0.0,0.0,0.0,0.0,53.0,0.0,56.0,59.0,0.0,0.0,0.0,0.0,0.0,334.0,47.0,78.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,2.1,4.8,80.0,2.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,2.6,2.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.4
9,James Robinson,8.0,14.0,21.0,19.0,19.0,20.0,0.0,5.0,0.0,16.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,156.0,15.6,7.0,3.0,3.0,6.0,1.0,1.0,3.0,0.0,1.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,27.0,2.7,7.0,5.0,11.0,15.0,18.0,18.0,17.0,0.0,4.0,0.0,12.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,129.0,12.9,7.0,65.48,47.0,41.0,40.0,53.0,48.0,56.0,0.0,8.0,0.0,39.0,29.0,38.0,0.0,0.0,0.0,0.0,0.0,399.0,39.0,56.0,6.0,3.0,6.0,2.0,1.0,4.0,0.0,2.0,0.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,36.0,3.6,9.0,75.0,0.0,0.0,3.0,3.0,5.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,1.9,0.0,0.0,3.0,4.0,5.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,2.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2
